customer_offer_id,customer_offer,customer_offer_description,customer_id,offer_expiry_date,max_usage,status
1,34,Business-focused fresh-thinking synergy,1,6/16/2019,9,No
2,48,Centralized intermediate installation,2,5/12/2019,5,No
3,20,Visionary global intranet,3,9/18/2019,7,No
4,36,Synergistic client-server open system,4,6/12/2019,4,Yes
5,16,Open-architected actuating forecast,5,6/7/2019,4,No
6,72,Horizontal attitude-oriented support,6,9/23/2019,7,No
7,59,Polarised next generation forecast,7,8/1/2019,3,Yes
8,43,Focused global capacity,8,6/2/2019,8,No
9,30,Horizontal disintermediate hierarchy,9,5/11/2019,5,Yes
10,79,Polarised well-modulated help-desk,10,7/5/2019,7,No
11,45,Switchable multimedia software,11,8/2/2019,8,No
12,33,Organic secondary productivity,12,5/28/2019,5,Yes
13,4,Ameliorated web-enabled installation,13,9/29/2019,1,Yes
14,77,Synchronised well-modulated data-warehouse,14,5/16/2019,3,No
15,4,Upgradable global capacity,15,6/27/2019,8,Yes
16,6,Team-oriented bifurcated collaboration,16,7/23/2019,4,Yes
17,39,Fully-configurable disintermediate protocol,17,6/23/2019,8,No
18,52,Vision-oriented solution-oriented contingency,18,5/5/2019,5,No
19,29,Persistent discrete installation,19,8/31/2019,2,No
20,31,Diverse even-keeled emulation,20,9/27/2019,9,Yes
21,7,Right-sized static neural-net,21,9/21/2019,7,No
22,44,Upgradable 24 hour model,22,6/19/2019,5,No
23,57,Extended exuding protocol,23,9/14/2019,5,No
24,32,Focused demand-driven ability,24,8/15/2019,4,Yes
25,1,User-friendly tertiary function,25,8/15/2019,5,Yes
26,69,Pre-emptive local leverage,26,7/16/2019,10,Yes
27,54,Organized neutral alliance,27,8/4/2019,9,Yes
28,74,Re-engineered intermediate installation,28,7/22/2019,2,Yes
29,57,User-centric zero administration knowledge base,29,8/7/2019,7,No
30,18,Distributed directional moratorium,30,9/2/2019,2,Yes
31,8,Cross-platform value-added budgetary management,31,9/22/2019,6,Yes
32,76,Multi-lateral client-server success,32,9/4/2019,1,Yes
33,58,Customer-focused system-worthy local area network,33,5/10/2019,6,Yes
34,55,Business-focused bottom-line architecture,34,5/22/2019,5,No
35,17,Optional actuating flexibility,35,9/5/2019,9,No
36,63,Team-oriented bottom-line circuit,36,7/13/2019,3,No
37,71,Organic local extranet,37,6/17/2019,4,No
38,61,Extended contextually-based core,38,7/12/2019,7,No
39,60,Stand-alone background strategy,39,8/30/2019,4,Yes
40,26,Cross-platform heuristic workforce,40,9/28/2019,3,No
41,19,Progressive hybrid ability,41,9/2/2019,1,No
42,9,Diverse homogeneous middleware,42,5/25/2019,7,Yes
43,47,Networked interactive installation,43,8/11/2019,7,Yes
44,56,Front-line explicit utilisation,44,6/20/2019,4,No
45,34,Enterprise-wide context-sensitive help-desk,45,7/14/2019,2,Yes
46,51,Face to face intangible synergy,46,9/16/2019,3,Yes
47,17,Automated dedicated functionalities,47,5/18/2019,3,Yes
48,57,Upgradable client-server middleware,48,8/7/2019,5,Yes
49,17,Mandatory stable flexibility,49,5/16/2019,10,No
50,44,Programmable upward-trending monitoring,50,6/20/2019,7,Yes
51,40,Assimilated foreground data-warehouse,51,5/6/2019,4,Yes
52,22,Multi-layered interactive migration,52,9/5/2019,2,Yes
53,71,Digitized high-level help-desk,53,7/22/2019,9,No
54,7,Down-sized scalable process improvement,54,6/15/2019,6,Yes
55,27,Re-engineered solution-oriented local area network,55,8/29/2019,7,No
56,47,Re-engineered dynamic Graphical User Interface,56,7/22/2019,8,No
57,12,Up-sized real-time core,57,9/1/2019,10,Yes
58,68,Synergistic methodical secured line,58,6/29/2019,8,No
59,76,Reactive composite product,59,8/14/2019,7,Yes
60,21,Optimized hybrid capability,60,7/17/2019,1,No
61,28,Managed well-modulated data-warehouse,61,8/19/2019,4,No
62,6,Diverse intangible infrastructure,62,7/7/2019,4,No
63,52,Ergonomic systemic approach,63,9/23/2019,9,Yes
64,31,Centralized maximized structure,64,5/26/2019,9,Yes
65,21,Pre-emptive client-driven conglomeration,65,9/13/2019,10,Yes
66,1,Switchable next generation functionalities,66,5/22/2019,7,No
